Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,GAD_T,SWL_T,SPIN_T
42052.87856,2,2,2,1,0,1,0,1,6,6,5,5,6,1,0,11.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1,22,2,1,8,28,17.0
42052.8896,2,1,1,3,1,2,0,2,2,3,1,1,1,1,1,0.0,0.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,0,19,2,1,10,8,44.0
42052.89571,0,0,0,0,0,0,0,0,6,6,6,6,7,1,0,10.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0,24,2,-1,0,31,6.0
42052.89701,0,1,1,1,0,0,3,1,2,2,1,1,1,1,1,20.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0,20,0,1,6,7,13.0
42052.90734,0,0,0,0,0,0,0,1,6,6,7,6,5,1,1,40.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,4.0,1.0,0,27,1,-1,0,30,35.0
42052.91132,1,0,1,0,0,2,0,0,5,6,6,4,4,5,1,18.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0,18,2,1,4,25,4.0
42052.9536,2,0,1,2,2,2,0,1,5,7,6,7,2,2,1,5.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1,30,1,-1,9,27,38.0
42052.99645,3,3,2,3,1,3,3,2,1,1,1,2,1,1,1,1.0,0.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1,18,2,1,18,6,64.0
42052.99894,2,3,3,3,3,3,2,2,2,4,2,1,1,1,0,14.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,0,22,2,-1,19,10,64.0
42053.0212,1,1,1,0,0,2,1,0,5,7,6,3,7,1,1,2.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,1,24,2,-1,6,28,25.0
42053.03369,1,1,1,0,0,0,0,1,5,5,5,5,4,6,0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0,18,2,1,3,24,11.0
42053.07314,1,0,1,2,1,1,1,0,2,4,3,5,2,1,1,10.0,0.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,0,40,1,1,7,16,54.0
42053.08773,0,0,0,0,0,0,0,0,5,5,5,5,5,1,1,10.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0,18,2,1,0,25,68.0
42053.20222,2,2,2,2,1,0,1,0,7,7,7,7,7,5,1,7.0,3.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0,19,2,1,10,35,21.0
42053.23775,0,0,0,0,0,1,0,0,7,7,6,7,4,1,1,25.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,23,1,-1,1,31,3.0
42053.41632,3,2,3,3,0,3,2,3,2,5,3,2,2,1,1,10.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0,24,2,-1,16,14,61.0
42053.47993,2,3,3,2,3,3,3,0,6,6,7,6,4,4,1,25.0,5.0,1.0,2.0,1.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,5.0,0,18,3,1,19,29,47.0
42053.48767,2,2,2,2,1,1,1,1,3,4,3,3,3,1,1,25.0,5.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,20,2,1,11,16,15.0
42053.49566,0,0,0,0,0,0,0,0,6,6,6,5,4,1,1,10.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,0,23,2,-1,0,27,36.0
42053.51369,0,0,1,1,1,0,1,1,5,5,5,5,2,1,1,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,21,2,-1,4,22,0.0
42053.55089,2,1,1,1,0,1,2,1,4,5,4,3,1,4,1,20.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,0,19,2,1,8,17,25.0
42053.63137,3,3,3,3,3,3,3,2,2,1,4,2,3,4,1,40.0,20.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,0,21,3,1,21,12,45.0
42053.65188,2,2,2,2,0,1,1,1,5,2,6,7,2,1,0,25.0,0.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,1,34,0,-1,10,22,38.0
42053.6622,1,2,2,0,2,1,1,0,2,3,5,7,7,1,0,10.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0,19,2,1,9,24,5.0
42053.66943,0,0,0,0,0,0,0,0,6,6,6,6,5,1,2,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0,50,1,-1,0,29,7.0
42053.6814,3,3,3,3,2,3,1,2,2,3,4,3,3,4,1,10.0,5.0,1.0,4.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1,20,1,1,18,15,30.0
42053.71839,2,1,1,1,1,1,0,1,5,4,2,4,5,1,1,20.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1,21,2,1,7,20,30.0
42053.72908,0,0,0,1,0,1,1,0,5,5,6,5,4,7,1,45.0,20.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0,19,2,1,3,25,30.0
42053.73389,2,1,1,1,0,2,1,1,6,7,6,6,5,1,1,11.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,0,28,1,-1,8,30,30.0
42053.75658,1,0,1,1,1,1,0,1,6,6,6,7,2,1,1,12.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0,18,2,1,5,27,11.0
42053.79323,1,0,1,2,1,2,1,1,2,3,2,2,2,1,1,25.0,0.0,1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,4.0,2.0,2.0,2.0,0,24,2,-1,8,11,34.0
